Date,State,Industry Sector Category,Residential
2018,IL,Delivery-Only Service,5.47
2018,MA,Delivery-Only Service,10.91
2018,MD,Delivery-Only Service,5.28
2018,ME,Delivery-Only Service,8.45
2018,MI,Delivery-Only Service,7.08
2018,MT,Delivery-Only Service,5.00
2018,NH,Delivery-Only Service,9.94
2018,NJ,Delivery-Only Service,4.64
2018,NV,Delivery-Only Service,0.00
2018,NY,Delivery-Only Service,11.67
2018,OH,Delivery-Only Service,6.62
2018,OR,Delivery-Only Service,0.00
2018,PA,Delivery-Only Service,6.53
2018,RI,Delivery-Only Service,10.46
2018,VA,Delivery-Only Service,0.00
2018,WA,Delivery-Only Service,0.00
2018,US,Delivery-Only Service,7.95
2017,AK,Total Electric Industry,21.27
2017,AL,Total Electric Industry,12.55
2017,AR,Total Electric Industry,10.28
2017,AZ,Total Electric Industry,12.44
2017,CA,Total Electric Industry,18.31
2017,CO,Total Electric Industry,12.17
2017,CT,Total Electric Industry,20.29
2017,DC,Total Electric Industry,12.94
2017,DE,Total Electric Industry,13.35
2017,FL,Total Electric Industry,11.61
2017,GA,Total Electric Industry,11.90
2017,HI,Total Electric Industry,29.50
2017,IA,Total Electric Industry,12.34
2017,ID,Total Electric Industry,10.04
2017,IL,Total Electric Industry,12.95
2017,IN,Total Electric Industry,12.29
2017,KS,Total Electric Industry,13.31
2017,KY,Total Electric Industry,10.85
2017,LA,Total Electric Industry,9.74
2017,MA,Total Electric Industry,20.06
2017,MD,Total Electric Industry,13.96
2017,ME,Total Electric Industry,15.97
2017,MI,Total Electric Industry,15.40
2017,MN,Total Electric Industry,13.04
2017,MO,Total Electric Industry,11.63
2017,MS,Total Electric Industry,11.08
2017,MT,Total Electric Industry,10.95
2017,NC,Total Electric Industry,10.94
2017,ND,Total Electric Industry,10.29
2017,NE,Total Electric Industry,10.97
2017,NH,Total Electric Industry,19.20
2017,NJ,Total Electric Industry,15.65
2017,NM,Total Electric Industry,12.88
2017,NV,Total Electric Industry,11.99
2017,NY,Total Electric Industry,18.03
2017,OH,Total Electric Industry,12.63
2017,OK,Total Electric Industry,10.61
2017,OR,Total Electric Industry,10.66
2017,PA,Total Electric Industry,14.23
2017,RI,Total Electric Industry,18.32
2017,SC,Total Electric Industry,13.02
2017,SD,Total Electric Industry,11.77
2017,TN,Total Electric Industry,10.72
2017,TX,Total Electric Industry,11.01
2017,UT,Total Electric Industry,10.95
2017,VA,Total Electric Industry,11.55
2017,VT,Total Electric Industry,17.68
2017,WA,Total Electric Industry,9.66
2017,WI,Total Electric Industry,14.35
2017,WV,Total Electric Industry,11.63
2017,WY,Total Electric Industry,11.37
2017,US,Total Electric Industry,12.89
1/2/2017,AK,Full-Service Providers,21.27
1/9/2017,AL,Full-Service Providers,12.55
1/16/2017,AR,Full-Service Providers,10.28
1/23/2017,AZ,Full-Service Providers,12.44
1/30/2017,CA,Full-Service Providers,18.15
2/6/2017,CO,Full-Service Providers,12.17
2/13/2017,CT,Full-Service Providers,19.82
2/20/2017,DC,Full-Service Providers,12.21
2/27/2017,DE,Full-Service Providers,13.23
3/6/2017,FL,Full-Service Providers,11.61
3/13/2017,GA,Full-Service Providers,11.90
3/20/2017,HI,Full-Service Providers,29.50
3/27/2017,IA,Full-Service Providers,12.34
4/3/2017,ID,Full-Service Providers,10.04
4/10/2017,IL,Full-Service Providers,12.64
4/17/2017,IN,Full-Service Providers,12.29
4/24/2017,KS,Full-Service Providers,13.31
5/1/2017,KY,Full-Service Providers,10.85
5/8/2017,LA,Full-Service Providers,9.74
5/15/2017,MA,Full-Service Providers,19.00
5/22/2017,MD,Full-Service Providers,13.61
5/29/2017,ME,Full-Service Providers,15.56
6/5/2017,MI,Full-Service Providers,15.40
6/12/2017,MN,Full-Service Providers,13.04
6/19/2017,MO,Full-Service Providers,11.63
6/26/2017,MS,Full-Service Providers,11.08
7/3/2017,MT,Full-Service Providers,10.95
7/10/2017,NC,Full-Service Providers,10.94
7/17/2017,ND,Full-Service Providers,10.29
7/24/2017,NE,Full-Service Providers,10.97
7/31/2017,NH,Full-Service Providers,19.69
8/7/2017,NJ,Full-Service Providers,15.49
8/14/2017,NM,Full-Service Providers,12.88
8/21/2017,NV,Full-Service Providers,11.99
8/28/2017,NY,Full-Service Providers,17.44
9/4/2017,OH,Full-Service Providers,12.54
9/11/2017,OK,Full-Service Providers,10.61
9/18/2017,OR,Full-Service Providers,10.66
9/25/2017,PA,Full-Service Providers,13.64
10/2/2017,RI,Full-Service Providers,17.99
10/9/2017,SC,Full-Service Providers,13.02
10/16/2017,SD,Full-Service Providers,11.77
10/23/2017,TN,Full-Service Providers,10.72
10/30/2017,TX,Full-Service Providers,11.01
11/6/2017,UT,Full-Service Providers,10.95
11/13/2017,VA,Full-Service Providers,11.55
11/20/2017,VT,Full-Service Providers,17.68
11/27/2017,WA,Full-Service Providers,9.66
12/4/2017,WI,Full-Service Providers,14.35
12/11/2017,WV,Full-Service Providers,11.63
12/18/2017,WY,Full-Service Providers,11.37
2017,CA,Restructured Retail Service Providers,20.96
2017,CT,Restructured Retail Service Providers,21.38
2017,DC,Restructured Retail Service Providers,15.17
2017,DE,Restructured Retail Service Providers,14.84
2017,IL,Restructured Retail Service Providers,13.48
